,Unnamed: 0,artist_name,track_title,track_id,popularity,artist_genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,lyrics,len,topic,release_date
10,114,rihanna,we found love,6qn9YLKt13AGvpq9jfO8py,81,,0.735,0.766,1.0,-4.485,1.0,0.0384,0.025,0.00141,0.108,0.6,127.975,pop,yellow diamonds light stand cross take come alive feel gotta hopeless place hopeless place hopeless place hopeless place shine light open door life divide turn away cause need feel heartbeat mind feel gotta hopeless place hopeless place hopeless place hopeless place yellow diamonds light stand cross hopeless place hopeless place hopeless place hopeless place hopeless place hopeless place hopeless place hopeless place,62,sadness,2011
11,122,gwen stefani,hollaback girl,0LzrhCZFXW94Y8nwtTuRlw,69,,0.926,0.916,10.0,-2.221,0.0,0.0929,0.35,6.01e-06,0.0234,0.904,110.009,pop,uhhuh shit girls stomp feet like time track gonna happen like cause hollaback girl hollaback girl time track gonna happen like cause hollaback girl hollaback girl shit shit shit shit shit shit shit shit hear talk shit think hear people hear talk like get everybody fire ready attack gonna lead pack gonna touchdown gonna right pompoms get everybody fire time track gonna happen like cause hollaback girl hollaback girl time track gonna happen like cause hollaback girl hollaback girl shit shit shit shit shit shit shit shit right dude meet bleachers principals studentteachers wanna winner gonna fight gonna gonna fall gonna sock right stand bite dust time track gonna happen like cause hollaback girl hollaback girl time track gonna happen like cause hollaback girl hollaback girl shit shit shit shit shit shit shit shit hear shit bananas bananas shit bananas bananas shit bananas bananas shit bananas bananas time track gonna happen like cause hollaback girl hollaback girl time track gonna happen like cause hollaback girl hollaback girl shit shit shit shit shit shit shit shit,175,obscene,2004
12,124,cherish,do it to it,20on25jryn53hWghthWWW3,75,,0.854,0.806,11.0,-8.262,0.0,0.0886,0.0209,0.0542,0.0703,0.637,124.927,pop,yeah atown yeah atown young bloodz homegirl yeah atown yeah atown playa step caddy deville base steel boys checkin know dress kill struttin club dark shade hear mixin youngbloodz whisper song city clubbin yearround holiday feelin right grab kryptonite song tonight tonight bounce drop lean snap ladies back know world rockin bounce drop lean snap fellas hat know world rockin need know represent head toe step dance floor watch learn cause throw hand work body flow city clubbin yearround holiday feelin right grab kryptonite song tonight tonight bounce drop lean snap ladies back know world rockin bounce drop lean snap fellas hat know world rockin folk folk folk folk lean lean drink smoke drink smoke snap finger snap fangas clap hand clap hand twist pimpin hood dance hood dance throw hood roll hang cause ridin good grippin club grand rubber band band damn right crunk crunk damn right clean clean lean lean pool palace palace shoulder lean shoulder lean nahmean bounce drop lean snap ladies back know world rockin bounce drop lean snap fellas hat know world rockin bounce drop lean snap ladies back know world rockin bounce drop lean snap fellas hat know world rockin,196,obscene,2006
13,130,of monsters and men,little talks,2ihCaVdNZmnHZWt0fvAM7B,77,,0.457,0.757,1.0,-5.177,1.0,0.032,0.0206,0.0,0.146,0.417,102.961,pop,like walk house hold hand walk dear stairs creak sleep keep awake house tell close eye days dress kill cause truth vary ship body safe shore voice head hold tell miss little talk soon bury past play outside young life days know wrong right mind play trick dear cause truth vary ship body safe shore listen word scream sound truth vary ship body safe shore go go go away watch disappear leave ghost tear tear tear apart meet soon hang fall asleep listen word scream sound truth vary ship body safe shore listen word scream sound truth vary ship body safe shore truth vary ship body safe shore,108,violence,2012
14,152,foo fighters,rope,7v0mtl6oInUtHOmTk2b0gC,55,,0.507,0.728,11.0,-4.874,0.0,0.0382,2.52e-05,7.41e-05,0.0725,0.535,138.19,rock,indecision climbin wall cheatin gravity waitin fall come think go smoke swallow crown choke kiss think save breath choke kiss think save breath gimme rope comin noose hangin gimme rope comin loose pullin rope comin outta head clear come loose premonitions cryin leave condition position harm choke kiss think save breath choke kiss think save breath gimme rope comin noose hangin gimme rope comin loose pullin rope comin outta head clear come loose gimme rope comin noose hangin gimme rope comin loose pullin gimme comin count gimme rope comin outta head clear come loose,94,obscene,2011
15,160,wiz khalifa,this plane,3LaSEWVZMTY9GnyE33xsEg,46,,0.656,0.849,6.0,-5.62,0.0,0.136,0.103,0.0,0.428,0.715,170.051,pop,yeah young khalifa spacely gang project bring champagne paper plan rostrum record bitch gang heavy hustle deal deal yeah bitch scream fuck niggas hat money affiliate speculate land mistake lame niggas know high fuck long plan leave situation richer people talk nigga leave bitch drink champagne touch grind cloud widers cigars gang fool legend streets cause thang wear fit city chain hate talk smack know go throne throw rock cruise maximum altitudes tryna touch real suckas tryna stop live party high tell lam deplane know hate gettin paper maybe go wanna leave need shame miss plane miss plane miss plane miss plane believe wanna leave need stick wave race live fast plan change foot need brake smoke widers hash fuck bitch state valet bring cars bring plat shrimp filet celebrate buy drink couple broads niggas lonely tire have company busy try stand view life lens pan substitute teacher niggas need handout middle finger scream fuck niggas hat money affiliate bottle chronic smoke integrate speculate land mistake speak captain plane runner fool know hate gettin paper maybe go wanna leave need shame miss plane miss plane miss plane miss plane believe wanna leave need,193,obscene,2009
16,167,steely dan,any major dude will tell you,1u42hFacJ1Bs8H9GX2O8z3,55,,0.675,0.41,2.0,-15.248,1.0,0.0459,0.834,6.37e-05,0.0939,0.503,80.279,blues,see look funky tell super fine mind come undo dude half heart surely tell friend minor world break apart fall demon door morning dude tell dude tell see squonk tear look people street see better time dude half heart surely tell friend minor world break apart fall demon door morning dude tell dude tell tell know hide inside dude half heart surely tell friend minor world break apart fall demon door morning dude tell dude tell,76,sadness,1974
17,180,usher,climax,5pyVqlqThcxI7tPDjHIzPh,58,,0.647,0.478,8.0,-8.837,1.0,0.0782,0.547,2.69e-05,0.156,0.333,135.877,pop,go fast reach climax undo commit choose away separate wanna give late reach climax climax fall feet grind cloud keep rain need knees go fast reach climax undo commit choose away separate wanna give late reach climax climax give best wasn upset argue mess care care go fast reach climax undo commit choose away separate wanna give late reach climax climax better separately need time mind need knees go fast reach climax undo commit choose away separate wanna give late reach climax climax,83,world/life,2012
18,188,natalie imbruglia,torn,1Jaah2tmN9Hv81A87KZ1MU,80,,0.575,0.886,5.0,-5.182,1.0,0.034,0.0647,0.000187,0.709,0.609,96.31,pop,think bring life warm come like dignify show couldn adore know care heart know anymore conversation go fine tear feel cold sham lie naked floor illusion change real wide awake perfect tear little late tear guess teller right see holy light crawl beneath vein care luck miss things touch tear feel cold sham lie naked floor illusion change real wide awake perfect tear little late tear tear inspiration go right tear feel cold sham lie naked floor illusion change real wide awake perfect tear feel cold ashamed bind break floor little late tear tear yeah little yeah little yeah little,100,sadness,1998
19,205,phoenix,lasso,3LENMSJJU0LLqcdVgf4JVW,48,,0.647,0.652,11.0,-6.95,1.0,0.0343,0.0243,0.000359,0.118,0.949,150.946,pop,long think loud suddenly dddon know forever long long time lose try follow ideal sorry socalled life waste wear real eye realize lasso tie lasso lonely pretty lack diplomacy ddon know fallout lonely matter lasso tie lasso wear real eye realize forever long long time lose forever long long time lose,51,night/time,2009
20,213,alice in chains,angry chair,5jCp5VtcpUlHtW8Dwlx13Y,53,,0.329,0.943,8.0,-5.742,1.0,0.0913,0.0406,0.0,0.0548,0.157,107.422,rock,sit angry chair angry wall steal stomach hurt care mold star yeah afraid change shape face yeah candle pair shadow dance burn angry chair little mistake pink cloud turn want play knees time pray mind yeah mind mind yeah mind lose mind yeah mind mind corporate prison stay dull work string loneliness phase field pain graze serenity away reflection cry little die fee lie open wide weight heart size mind yeah mind mind yeah mind lose mind yeah mind mind pink cloud turn want play knees time pray,88,sadness,1992
21,218,fiona apple,across the universe,6ZQgooEk8PvsLxedYaT6Oa,59,,0.578,0.481,4.0,-10.545,1.0,0.0317,0.431,0.00299,0.0951,0.548,129.881,pop,word flow like endless rain paper slither pass slip away universe pool sorrow wave drift open mind possess caress guru gonna change world gonna change world gonna change world gonna change world image break light dance like million eye universe thoughts meander like restless wind inside letter tumble blindly universe guru gonna change world gonna change world gonna change world gonna change world sound laughter shade earth ring open ears incite invite limitless undying shin like million sun call universe guru gonna change world gonna change world gonna change world gonna change world guru guru guru guru guru guru guru,100,world/life,1998
22,239,prefab sprout,bonny,6XGup1vnoRarqS5Eb0zeUc,45,,0.71,0.678,3.0,-8.812,1.0,0.0323,0.136,0.000111,0.102,0.647,131.769,pop,spend days vanity lose heaven lose earth minutes moments life tower foil shade feel believe eye plan take grant count hours slip away count hours awake count minutes second steal take live home live home word hold break soldier silence strain respect miss chance regret kiss thief save rest insights retrospect live home live home count hours slip away count hours awake count minutes second steal take live home live home live home live home live home live,78,world/life,1985
23,244,flogging molly,if i ever leave this world alive,6l6UyIBwaNibzWZKfGkmJW,54,,0.353,0.615,2.0,-5.932,1.0,0.0294,0.227,9.16e-06,0.0506,0.492,104.829,pop,leave world alive thank things life leave world alive come feet tonight memory leave world alive leave world alive sadness leave leave world alive madness feel soon subside word shed tear get weird leave world alive doubt insane leave world leave world leave world alive say okay alright go life say right,52,world/life,2002
24,255,rod stewart,sometimes when we touch,095S6zESAqe4xrm321mGsa,48,,0.589,0.302,4.0,-11.919,1.0,0.0359,0.724,0.0,0.114,0.216,116.93,rock,choke reply hurt honestly mislead judge begin real touch honesty close eye hide wanna hold break wanna hold fear subside romance strategies leave battle pride insecurity tenderness survive writer trap truth hesitant prizefighter trap youth touch honesty close eye hide wanna hold break wanna hold fear subside time like break drive knees time like break hold endlessly time understand know hard watch command watch pass time think drifters search friend brother sister passion flare touch honesty close eye hide wanna hold break wanna hold fear subside subside,87,sadness,1996
25,257,drake,crew love,0V4l4GQhgnWQGtCWpvA7va,67,,0.418,0.546,0.0,-9.057,0.0,0.238,0.227,0.0,0.229,0.294,160.152,pop,nose keyboard bother room niggas follow fuck singalong girl sing cause blow like crew blow like roll fake trash go straight rooftop glow hand girls foreign brain poison rainbows flow lightskinned chick flight poland friends flight poland cash come straight poland cause love crew love crew love crew love crew love crew love crew love crew love crew yeah smoke weed projectors guess know get see family take place desire diplomas wall think like time like time blow like vacation soldier look face take friends come strip ones come realest niggas lyric shit tell story history tell need reservations preservation money spend breathe believe know love crew love crew love crew love crew love crew love crew love crew love crew whoa cause blow like crew blow like broadcast swag nigga news city,133,obscene,2011
26,269,mac miller,donald trump,6Aa7aDayiQHnUw1dUvdneZ,67,,0.716,0.936,1.0,-4.968,0.0,0.123,0.0318,0.0,0.367,0.799,81.508,pop,good bruh kinda high laugh flyest fucker room yeah know bitch hatin cause start locally hopefully soon house couch watchin cartoon know abundance fuck budget subject discussion nothin stop fuck cause walkin public hear talkin rubbish wanna ride ride city cutlass butt bitch nut kiss go party like bitch brush high school world trump shit look money shit world trump shit look money shit world haters gettin bitch crazy life gonna lose draw hoe play bras world haters gettin world watch haters bitch crazy life wrap fuckers think know style come excellence money benevolence irrelevant fuckers intelligent kill henny break bottle hell tell bitch better bring friend want autograph better bring yeah party life recommend pick better picky girls actin tricky situation sticky liquor silly world trump shit look money shit world haters gettin bitch crazy life gonna lose draw hoe play bras world haters gettin world watch haters bitch crazy life wrap,153,obscene,2011
27,274,jagged edge,promise,1X1KDnhTnb28tpJlgOV3lD,55,,0.751,0.568,5.0,-5.431,0.0,0.0872,0.136,0.0,0.0288,0.646,128.002,pop,promise thing baby promise stay true baby promise leave alright promise things girl believe promise know things say right forever long time fight change mind cause know care know things share babe true need need pray need promise thing baby promise stay true baby promise leave alright promise things girl believe promise think time say baby gonna change say mean world baby girl yeah cause kind deserve know need yeah need need pray need promise thing baby promise stay true baby promise leave alright promise things girl believe promise want life promise alright babe want life promise promise promise promise baby want life promise alright babe want life promise promise promise promise baby,113,world/life,2000
28,275,kaskade,move for me,5KOt1QRD9YQQrrzwLCWuTN,47,,0.654,0.75,1.0,-6.068,1.0,0.0322,0.069,0.000901,0.0987,0.213,128.035,pop,night dancefloor night dancefloor night dancefloor night dancefloor night wait week come know matter life light speakers put get past matter life night dancefloor night dancefloor night dancefloor night dancefloor night dancefloor night dancefloor night dancefloor,36,night/time,2008
29,299,adele,one and only,43dcCpx19I0R4zLr4KH1UC,65,,0.528,0.468,5.0,-5.306,1.0,0.0287,0.295,0.0,0.165,0.185,154.974,pop,mind grow fonder lose time think face know take long doubt want know scar feel word imagine know forget past simply dare promise hold arm come prove walk mile start mind hang word lose time mention know feel hold close tell whichever road choose know scar cause feel word imagine know forget past simply dare promise hold arm come prove walk mile start know easy give heart know easy give heart perfect trust learn know easy give heart perfect trust learn know easy give heart perfect trust learn know easy give heart perfect trust learn know easy give heart dare promise hold arm come prove walk mile start come prove walk mile start,113,world/life,2011
30,312,50 cent,get in my car,4nmBEd13jgjtV8Pc90JDDn,53,,0.685,0.866,11.0,-5.614,0.0,0.306,0.106,0.0,0.136,0.78,75.065,pop,straight guerilla cold hearted killa nigga gettin outta line mothafuckas freeze come shoot clip snorkel smile fuck niggas money slow niggas edge waitin nigga push hand strap lookin pussy buddies partner damn sure friends chrome benz face rim bitch wanna roll play playa mothafuckin pickup line stay grind tell hoe time bitch bitch ridin dayton spokes open bitch tell know shit better watch girl mane leave bitch stuntin hoe bout paper bitch bout nigga backseat jeep fuck fuck district introduce tell like icey game fuck bitch brain think wifey spend life save cause like committment likely go vivica think somethin week nothin pickup line stay grind tell hoe time bitch bitch ridin dayton spokes open bitch pickup line stay grind tell hoe time bitch bitch ridin dayton spokes open bitch look windows soul eye blood shoot ganja high pain smooth calm feel rush like needle cold world baby girl lovin fuckin break pretty bitch sexin suck cock stand percent thug freak taste position mouth baby conversation deep head thing know yawnin turnin hahaha quit playin bitch know wanna ride nigga cent gggggunit hahaha gunshots,184,obscene,2005
31,329,juvenile,rodeo,6TQi1WGLxAyy1itA3CqSlD,51,,0.7,0.547,1.0,-7.907,1.0,0.156,0.0532,0.0,0.068,0.67,157.137,pop,isthis isthis tune wutp radio host tonight cool lock juvenile hour know girls tune right send clearly call rodeo talk pimpin need open ears soak game know famous karats shine like stainless look diamonds complement finger choke indeedshit chokin woah need breath breathe chasin hennessy play especially hoe shakin leeway security stop trippin niggas easy yessir bubble right hurr beautiful women insecure work thattwerk thatserve come rodeo bounce thatmove thatdo rodeo work thattwerk thatserve come rodeo bounce thatmove thatdo rodeo rodeo like nothin everybody watchin thong birthday mama kodak quit showin world throwback zone leavin right positive vibe homicide squad holdin steer wheel controllin ride comin drive feelin outfit nice hard worker like afford beautiful bitch face smile want quit judgin size statistics turn light ballerific right spot daughters visit freak explicit round cause want shit trippin home shit cause worry bout puttin shit lyin cross path club night niggas stalk fine trippin know trippin cause know wear tonight understand sayin sample,162,obscene,2006
32,334,rihanna,where have you been,5WQQIDU3HRaMyPkob8mpFb,72,,0.719,0.847,0.0,-6.34,0.0,0.0919,0.00201,0.0204,0.221,0.443,127.96,pop,look night long look babe look babe search babe cause hide yeah crowd life life life life life life look night long look babe look babe search baby cause hide yeah crowd life life life life life life life want tonight yeah look night long look babe look babe search babe,51,world/life,2011
33,347,lifehouse,whatever it takes,3nzL5CIQiCEt6jRt1AlQ9d,56,,0.439,0.874,0.0,-4.165,1.0,0.0299,0.00571,0.0,0.176,0.527,150.036,pop,strangle smile fell face kill hurt worst know million reason reason stay take turn know stake know believe change take say go work gotta inside hurt hide break part need say like gotta gotta take turn know stake know break know deserve better remember time tell felt lose hold start start take turn know stake know believe change take,59,sadness,2007
34,361,coldplay,hurts like heaven,6WF4hzdGXvXd1joERSXJjm,54,,0.418,0.773,10.0,-6.187,1.0,0.0305,0.01,0.00418,0.269,0.273,89.961,pop,write graffiti bridge feel miss cold cold cold cold write marker factory sign struggle feel life cold cold cold cold arrow shoot try tear apart belly beat heart cause heart weapon hurt like heaven street surface tonight streets write say control control feel little nervous feel nervous relax come come know facts concrete canvas cover dark concrete canvas make arm spraycan soul arm spraycan soul heart weapon hurt like heaven yeah true heart weapon hurt like heaven hurt like heaven,80,violence,2011
35,362,heart,all i wanna do is make love to you,5YjKdeES9QRJ8NmF4Xc8pV,65,,0.626,0.746,7.0,-8.832,1.0,0.0282,0.16,0.0,0.0618,0.8,102.896,pop,rainy night come sight stand road umbrella coat pull offer ride accept smile drive lonely rain fate tell right sight wrong stay night wanna want wanna lovin arm hold hotel place know magic night right bring woman time easily morning wake leave note lyric commercial,45,night/time,1990
36,367,paramore,brick by boring brick,1a9YW7fATU351ok4zWjU7a,65,,0.436,0.942,9.0,-2.206,1.0,0.0496,9.56e-05,0.000438,0.209,0.5,164.975,pop,live fairy tale forget taste smell world leave exposure lens tell angle wrong rip wing butterfly feet grind head cloud shovel deep hole bury castle bury castle shovel deep hole bury castle bury castle badaba bada bababa cry coil dirty grind finally come save rest figure trick clock strike sure build house brick bore brick gonna blow feet grind head cloud shovel deep hole bury castle bury castle shovel deep hole bury castle bury castle build world magic real life tragic yeah build world magic real hold hand feel heart believe true eye dark want yeah shovel deep hole better bury castle bury castle shovel deep hole bury castle bury castle badaba bada babada bada baba badaba,117,violence,2009
37,381,one direction,more than this,0UAB340gAcSMk3r0a8PTag,71,,0.498,0.715,0.0,-4.446,1.0,0.0315,0.0607,0.0,0.274,0.225,151.809,pop,break hear blind cause dance pray heart turn walk door head turn face floor cause look eye open arm hold close tonight feel right cause yeah lay inside feel right cause louder arm rescue cause save leave go street arm weak body fail knees pray open arm hold close tonight feel right cause yeah lay inside feel right cause yeah word ask stay little inside arm close eye tonight pray light shin star open arm hold close tonight feel right cause cause yeah cause lay inside feel right cause yeah open arm hold close tonight hold close feel right cause yeah cause yeah lay inside yeah feel right cause,109,sadness,2012
38,384,cartel,the fortunate,087iMBgZpCw2BE9gyPHDKh,38,,0.608,0.803,1.0,-3.596,1.0,0.0356,0.0011,0.0,0.13,0.922,138.993,pop,mind second minutes yeah alright fortunate time yeah fortunate look cruel little tire complacent miserable think miss think dumbing past point own word get okay mind second minutes yeah alright fortunate time misadventure feel insecure easy push fake tense okay mind second minutes yeah alright fortunate time thing sure okay know time thing wait fallout history go long long think mind second minutes yeah alright fortunate time yeah mind second minutes yeah alright fortunate time mind heyo second minutes heyo heyo heyo yeah alright heyo heyo heyo fortunate time,89,night/time,2007
39,399,radiohead,true love waits,07XaOyTS5hyaWiUK1Bc3bR,61,,0.401,0.132,0.0,-15.569,1.0,0.0355,0.938,0.102,0.1,0.0381,136.142,rock,drown beliefs baby dress like niece swell feet leave leave live kill time tiny hand crazy kitten smile leave leave true wait haunt attics true live lollipops crisp leave leave,30,sadness,2016
40,405,the weeknd,rolling stone,4dXnS1YXBkn4oAIxRLPJcK,50,,0.678,0.352,8.0,-12.019,0.0,0.0317,0.536,5.29e-05,0.11,0.397,129.92,pop,yeah yeah yeah thinkin bout girl thinkin bout fuckin recognize recognize life home recognition care cause streets long long long baby long cause get fade long roll stone kill serotonin hand bean chest weed sing bout bitch blow steam yeah know issue think fuckin flow smoke note baby face mystery fade baby different think different different listen baby girl ohohh woah,61,obscene,2012
41,423,sum 41,with me,1OTvWduKQV0MQd2gnGM9He,60,,0.167,0.851,4.0,-4.039,1.0,0.0421,0.0127,0.0,0.172,0.11,175.426,pop,want moment forever smile cause true mistake stumble fall mean word want know word heart soul hold moment know bleed heart thoughts unspoken forever piece memories fall grind know cause true streets walk come want know word heart soul hold moment know bleed heart eye fall sky know look eye fall sky know want moment want know word heart soul hold moment know bleed heart want know word heart soul hold moment know bleed heart,75,sadness,2007
42,430,system of a down,lonely day,1VNWaY3uNfoeWqb5U8x2QX,79,,0.47,0.796,8.0,-3.277,0.0,0.0336,0.362,1.1e-06,0.133,0.215,113.108,rock,lonely loneliest life lonely ban stand loneliest life loneliest life lyric commercial,12,world/life,2005
43,463,a day to remember,if it means a lot to you,3rEwGRmPVVudVjqdgv0tRR,66,,0.584,0.536,10.0,-8.158,1.0,0.0279,0.112,0.0,0.456,0.441,127.001,pop,darling good tonight know feel right leave yeah want need tell sweet cause come home till sing sing till home swear till home swear come tomorrow past best sweetie need tonight know want leave yeah want help feel complete know come home sing sing till home swear till home swear come tomorrow past best know need mean happen swear dare friends sway know happen eventually everybody sing everybody sing till home everybody sing swear everybody sing till home everybody sing swear everybody sing,83,music,2009
44,468,rise against,injection,1wVUjggKup9hP2jd24gLSg,51,,0.42,0.996,8.0,-2.961,0.0,0.0804,0.000229,0.00042,0.0897,0.433,105.686,pop,spend days count hours awake night cover burden bury spite prayers light turn inside heart remember like care knees weak hand shake breathe drug alive leave life pull plug breath finally free trail crumb leave lose mean leave stay memories haunt ones bring closer matter grave fall cloud scream drug alive leave life pull plug breath finally free grip loosen break forsake word break fall comfort guide uncharted water lose compass forever forever end knees weak hand shake breathe drug alive leave life pull plug breath finally free,88,violence,2006
45,490,mac miller,loud,2m9fyiIA1ADsjZTG9qcnQI,59,,0.635,0.866,1.0,-4.315,1.0,0.0402,0.00411,1.08e-05,0.391,0.254,140.013,pop,ladies gentlemen macadelic motherfucker hahahahah codeine sip groupies fall like bitch trip tryna fuck need tuition tryna stunt need play position give fuck bout change roll blunt diamonds chain yeah hear diamonds chain difference cry rain show kill sell fillmore million play number spot billboard yeah people number high drug close roll pour watch world smoke like music real loud real loud turn shit right right come homies hoe know pocket like music real loud real loud turn shit right right come go chase hoe know pocket grammy soon fuck magazine gonna hand shoe fuck magazine hammer team pack hear jerm beat bang glass lean go high school class tryna fuck female faculty crazy little fucker think head away experiment drug fuck million dollars think underpay fuck meet bitch stand straight pump rap yeah rap tryna talk shit think pesos get bank roll chill stack yeah people number high drug close roll pour watch world smoke like music real loud real loud turn shit right right come homies hoe knownever pocket like music real loud real loud turn shit right right come go chase hoe know pocket,187,obscene,2012
46,495,train,marry me,2MWOqewf5j0qf2b6S5J6cS,62,,0.461,0.267,0.0,-8.514,1.0,0.0278,0.834,2.03e-05,0.107,0.481,87.918,pop,forever long feel like long forget world thing leave weight lift surely shift today everyday nerve hello cafe close feel like close wear white wear word beautiful finally show today everyday nerve hello cafe promise promise sing music die today everyday nerve hello cafe,44,world/life,2010
47,507,hilary duff,so yesterday,0J1Wfjo9H3R62yaCuuNDZX,54,,0.552,0.802,0.0,-3.799,1.0,0.0615,0.215,0.0,0.275,0.776,78.21,pop,yesterday yesterday yesterday change life wanna change clothe wanna change mind go gonna jeans black cause wanna look good gonna today today today cause come tomorrow yesterday yesterday fly away laugh yesterday yesterday hear gonna okay okay bore wanna real tough wanna tear hear thank mind start ignore single tear gonna happen today today today cause come tomorrow yesterday yesterday fly away laugh yesterday yesterday hear gonna okay leave hang line dead wanna walk step ahead move go light today today today cause come tomorrow yesterday yesterday fly away laugh yesterday yesterday hear yesterday come tomorrow yesterday yesterday fly away laugh yesterday yesterday hear gonna okay,106,world/life,2003
